id,resposta_modelo,resposta_correta,status
pm2021_c_21,D,B,ERRO
pm2021_c_22,E,E,ACERTO
pm2021_c_23,MÚLTIPLAS,A,ERRO
pm2021_c_24,B,B,ACERTO
pm2021_c_25,C,D,ERRO
pm2021_c_26,D,A,ERRO
pm2021_c_27,C,D,ERRO
pm2021_c_28,D,B,ERRO
pm2021_c_29,A,E,ERRO
pm2021_c_30,E,E,ACERTO
pm2021_c_31,D,A,ERRO
pm2021_c_32,MÚLTIPLAS,A,ERRO
pm2021_c_33,E,D,ERRO
pm2021_c_34,C,C,ACERTO
pm2021_c_35,C,C,ACERTO
pm2021_c_36,E,E,ACERTO
pm2021_c_37,E,B,ERRO
pm2021_c_38,A,E,ERRO
pm2021_c_39,E,E,ACERTO
pm2021_c_40,D,D,ACERTO
pm2021_c_41,E,E,ACERTO
pm2021_c_42,B,D,ERRO
pm2021_c_43,B,B,ACERTO
pm2021_c_44,E,D,ERRO
pm2021_c_45,MÚLTIPLAS,C,ERRO
pm2021_c_46,E,A,ERRO
pm2021_c_47,A,C,ERRO
pm2021_c_48,E,A,ERRO
pm2021_c_49,E,B,ERRO
pm2021_c_50,A,C,ERRO
pm2021_c_51,C,A,ERRO
pm2021_c_52,A,NULA,ERRO
pm2021_c_53,E,C,ERRO
pm2021_c_54,C,E,ERRO
pp2024_c_21,C,C,ACERTO
pp2024_c_22,E,A,ERRO
pp2024_c_23,C,B,ERRO
pp2024_c_24,C,E,ERRO
pp2024_c_25,A,C,ERRO
pp2024_c_26,MÚLTIPLAS,C,ERRO
pp2024_c_27,D,A,ERRO
pp2024_c_28,A,D,ERRO
pp2024_c_29,B,E,ERRO
pp2024_c_30,E,E,ACERTO
pp2024_c_31,D,D,ACERTO
pp2024_c_32,C,D,ERRO
pp2024_c_33,MÚLTIPLAS,D,ERRO
pp2024_c_34,MÚLTIPLAS,B,ERRO
pp2024_c_35,E,C,ERRO
pp2024_c_36,MÚLTIPLAS,E,ERRO
pp2024_c_37,D,C,ERRO
pp2024_c_38,E,B,ERRO
pp2024_c_39,MÚLTIPLAS,C,ERRO
pp2024_c_40,D,A,ERRO
pp2024_c_41,B,D,ERRO
pp2024_c_42,MÚLTIPLAS,C,ERRO
pp2024_c_43,E,C,ERRO
pp2024_c_44,E,B,ERRO
pp2024_c_45,B,E,ERRO
pp2024_c_46,C,B,ERRO
pp2024_c_47,E,B,ERRO
pp2024_c_48,E,E,ACERTO
pp2024_c_49,A,A,ACERTO
pp2024_c_50,MÚLTIPLAS,E,ERRO
pp2024_c_51,E,A,ERRO
pp2024_c_52,MÚLTIPLAS,B,ERRO
pm2021_a_29,E,E,ACERTO
pm2021_a_33,E,A,ERRO
pm2021_a_34,A,A,ACERTO
pm2021_a_35,MÚLTIPLAS,C,ERRO
pm2021_a_36,D,D,ACERTO
pm2021_a_38,E,E,ACERTO
pm2021_a_39,A,E,ERRO
pm2021_a_43,MÚLTIPLAS,C,ERRO
pm2021_a_46,B,B,ACERTO
pm2021_a_49,C,A,ERRO
pm2021_a_50,E,E,ACERTO
pm2021_a_54,E,B,ERRO
pp2024_b_21,C,C,ACERTO
pp2024_b_22,D,C,ERRO
pp2024_b_23,E,A,ERRO
pp2024_b_24,C,D,ERRO
pp2024_b_25,D,C,ERRO
pp2024_b_26,D,A,ERRO
pp2024_b_27,MÚLTIPLAS,B,ERRO
pp2024_b_28,A,E,ERRO
pp2024_b_29,A,D,ERRO
pp2024_b_30,D,B,ERRO
pp2024_b_31,D,C,ERRO
pp2024_b_32,B,E,ERRO
pp2024_b_33,MÚLTIPLAS,E,ERRO
pp2024_b_34,C,E,ERRO
pp2024_b_35,MÚLTIPLAS,D,ERRO
pp2024_b_36,MÚLTIPLAS,D,ERRO
pp2024_b_37,C,A,ERRO
pp2024_b_38,E,C,ERRO
pp2024_b_39,C,D,ERRO
pp2024_b_40,D,C,ERRO
pp2024_b_41,C,B,ERRO
pp2024_b_42,D,C,ERRO
pp2024_b_43,E,E,ACERTO
pp2024_b_44,E,B,ERRO
pp2024_b_45,E,B,ERRO
pp2024_b_46,E,C,ERRO
pp2024_b_47,B,E,ERRO
pp2024_b_48,E,B,ERRO
pp2024_b_50,MÚLTIPLAS,A,ERRO
pp2024_b_51,A,B,ERRO
pp2024_b_52,B,A,ERRO
pp2024_a_21,A,C,ERRO
pp2024_a_22,MÚLTIPLAS,C,ERRO
pp2024_a_24,D,D,ACERTO
pp2024_a_25,C,C,ACERTO
pp2024_a_26,E,A,ERRO
pp2024_a_27,D,B,ERRO
pp2024_a_28,C,E,ERRO
pp2024_a_29,MÚLTIPLAS,D,ERRO
pp2024_a_30,MÚLTIPLAS,B,ERRO
pp2024_a_31,C,C,ACERTO
pp2024_a_32,MÚLTIPLAS,E,ERRO
pp2024_a_33,B,E,ERRO
pp2024_a_34,E,E,ACERTO
pp2024_a_35,D,D,ACERTO
pp2024_a_36,A,D,ERRO
pp2024_a_37,D,A,ERRO
pp2024_a_38,C,C,ACERTO
pp2024_a_39,D,D,ACERTO
pp2024_a_40,C,C,ACERTO
pp2024_a_41,E,B,ERRO
pp2024_a_44,C,B,ERRO
pp2024_a_45,E,B,ERRO
pp2024_a_46,E,C,ERRO
pp2024_a_48,E,B,ERRO
pp2024_a_49,C,E,ERRO
pp2024_a_50,A,A,ACERTO
pp2024_a_51,MÚLTIPLAS,B,ERRO
pp2024_a_52,E,A,ERRO
pm2021_b_53,MÚLTIPLAS,B,ERRO
pc2025_01_pn_32,E,C,ERRO
pc2025_01_pn_33,MÚLTIPLAS,E,ERRO
pc2025_01_pn_34,MÚLTIPLAS,B,ERRO
pc2025_01_pn_35,MÚLTIPLAS,D,ERRO
pc2025_01_pn_36,MÚLTIPLAS,C,ERRO
pc2025_01_pn_37,C,A,ERRO
pc2025_01_pn_38,B,B,ACERTO
pc2025_01_pn_39,B,A,ERRO
pc2025_01_pn_40,E,A,ERRO
pc2025_01_ppn_41,MÚLTIPLAS,B,ERRO
pc2025_01_ppn_42,A,B,ERRO
pc2025_01_ppn_43,B,B,ACERTO
pc2025_01_ppn_44,A,C,ERRO
pc2025_01_ppn_45,MÚLTIPLAS,C,ERRO
pc2025_01_ppn_46,E,D,ERRO
pc2025_01_ppn_47,E,C,ERRO
pc2025_01_ppn_48,E,D,ERRO
pc2025_01_ppn_49,E,A,ERRO
pc2025_01_ppn_50,E,B,ERRO
pc2025_01_cn_51,E,A,ERRO
pc2025_01_cn_52,B,A,ERRO
pc2025_01_cn_53,D,A,ERRO
pc2025_01_cn_54,MÚLTIPLAS,E,ERRO
pc2025_01_cn_55,E,C,ERRO
pc2025_01_cn_56,E,D,ERRO
pc2025_01_adm_57,E,A,ERRO
pc2025_01_adm_58,E,B,ERRO
pc2025_01_adm_59,B,D,ERRO
pc2025_01_adm_60,MÚLTIPLAS,B,ERRO
pc2025_01_adm_61,C,E,ERRO
pc2025_01_adm_62,B,D,ERRO
pc2025_01_lipc_63,A,D,ERRO
pc2025_01_lipc_64,B,C,ERRO
pc2025_01_lipc_65,E,D,ERRO
pc2025_01_lipc_66,B,C,ERRO
pc2025_02_pn_31,B,A,ERRO
pc2025_02_pn_32,MÚLTIPLAS,E,ERRO
pc2025_02_pn_33,C,A,ERRO
pc2025_02_pn_34,B,B,ACERTO
pc2025_02_pn_35,MÚLTIPLAS,C,ERRO
pc2025_02_pn_36,E,A,ERRO
pc2025_02_pn_37,MÚLTIPLAS,D,ERRO
pc2025_02_pn_38,E,C,ERRO
pc2025_02_pn_39,MÚLTIPLAS,B,ERRO
pc2025_02_pn_40,E,D,ERRO
pc2025_02_cn_52,E,D,ERRO
pc2025_02_cn_53,E,A,ERRO
pc2025_02_cn_54,E,E,ACERTO
pc2025_02_cn_55,MÚLTIPLAS,A,ERRO
pc2025_02_cn_56,D,E,ERRO
pc2025_02_adm_57,C,B,ERRO
pc2025_02_adm_58,MÚLTIPLAS,B,ERRO
pc2025_02_adm_59,E,D,ERRO
pc2025_02_adm_60,MÚLTIPLAS,D,ERRO
pc2025_02_adm_61,E,A,ERRO
pc2025_02_adm_62,B,D,ERRO
pc2025_02_lipc_64,E,D,ERRO
pc2025_02_lipc_65,A,D,ERRO
pc2025_02_lipc_66,B,C,ERRO
pc2025_03_pn_31,C,A,ERRO
pc2025_03_pn_32,E,A,ERRO
pc2025_03_pn_33,B,B,ACERTO
pc2025_03_pn_34,MÚLTIPLAS,D,ERRO
pc2025_03_pn_35,B,A,ERRO
pc2025_03_pn_36,E,D,ERRO
pc2025_03_pn_37,MÚLTIPLAS,B,ERRO
pc2025_03_pn_38,MÚLTIPLAS,E,ERRO
pc2025_03_pn_39,MÚLTIPLAS,C,ERRO
pc2025_03_pn_40,E,C,ERRO
pc2025_03_ppn_42,E,B,ERRO
pc2025_03_ppn_43,MÚLTIPLAS,A,ERRO
pc2025_03_ppn_44,E,B,ERRO
pc2025_03_ppn_45,E,B,ERRO
pc2025_03_ppn_46,B,D,ERRO
pc2025_03_ppn_47,E,D,ERRO
pc2025_03_ppn_48,MÚLTIPLAS,C,ERRO
pc2025_03_ppn_49,E,B,ERRO
pc2025_03_ppn_50,A,C,ERRO
pc2025_03_cn_51,E,D,ERRO
pc2025_03_cn_52,D,A,ERRO
pc2025_03_cn_53,MÚLTIPLAS,E,ERRO
pc2025_03_cn_54,E,C,ERRO
pc2025_03_cn_55,E,A,ERRO
pc2025_03_cn_56,B,A,ERRO
pc2025_03_adm_57,E,B,ERRO
pc2025_03_adm_58,MÚLTIPLAS,D,ERRO
pc2025_03_adm_59,E,A,ERRO
pc2025_03_adm_60,C,E,ERRO
pc2025_03_adm_61,B,D,ERRO
pc2025_03_adm_62,MÚLTIPLAS,B,ERRO
pc2025_03_lipc_64,E,C,ERRO
pc2025_03_lipc_65,B,C,ERRO
pc2025_03_lipc_66,A,D,ERRO
pc2025_04_pn_32,MÚLTIPLAS,C,ERRO
pc2025_04_pn_33,E,D,ERRO
pc2025_04_pn_34,MÚLTIPLAS,D,ERRO
pc2025_04_pn_35,C,A,ERRO
pc2025_04_pn_36,B,A,ERRO
pc2025_04_pn_37,E,C,ERRO
pc2025_04_pn_38,E,A,ERRO
pc2025_04_pn_39,MÚLTIPLAS,E,ERRO
pc2025_04_pn_40,MÚLTIPLAS,B,ERRO
pc2025_04_ppn_41,E,B,ERRO
pc2025_04_ppn_42,A,C,ERRO
pc2025_04_ppn_43,MÚLTIPLAS,C,ERRO
pc2025_04_ppn_44,B,D,ERRO
pc2025_04_ppn_45,MÚLTIPLAS,A,ERRO
pc2025_04_ppn_46,E,B,ERRO
pc2025_04_ppn_47,E,B,ERRO
pc2025_04_ppn_48,E,D,ERRO
pc2025_04_ppn_49,E,B,ERRO
pc2025_04_ppn_50,A,C,ERRO
pc2025_04_cn_51,D,A,ERRO
pc2025_04_cn_52,MÚLTIPLAS,E,ERRO
pc2025_04_cn_53,B,A,ERRO
pc2025_04_cn_54,E,D,ERRO
pc2025_04_cn_55,E,C,ERRO
pc2025_04_cn_56,C,A,ERRO
pc2025_04_adm_57,MÚLTIPLAS,B,ERRO
pc2025_04_adm_58,B,D,ERRO
pc2025_04_adm_59,MÚLTIPLAS,D,ERRO
pc2025_04_adm_60,C,E,ERRO
pc2025_04_adm_61,E,B,ERRO
pc2025_04_adm_62,E,A,ERRO
pc2025_04_lipc_63,B,C,ERRO
pc2025_04_lipc_64,A,D,ERRO
pc2025_04_lipc_65,E,C,ERRO
pc2025_04_lipc_66,E,D,ERRO
