id,resposta_modelo,resposta_correta,status
pm2021_c_21,B,B,ACERTO
pm2021_c_22,D,E,ERRO
pm2021_c_23,A,A,ACERTO
pm2021_c_24,B,B,ACERTO
pm2021_c_25,D,D,ACERTO
pm2021_c_26,C,A,ERRO
pm2021_c_27,B,D,ERRO
pm2021_c_28,C,B,ERRO
pm2021_c_29,C,E,ERRO
pm2021_c_30,E,E,ACERTO
pm2021_c_31,E,A,ERRO
pm2021_c_32,A,A,ACERTO
pm2021_c_33,A,D,ERRO
pm2021_c_34,C,C,ACERTO
pm2021_c_35,C,C,ACERTO
pm2021_c_36,E,E,ACERTO
pm2021_c_37,D,B,ERRO
pm2021_c_38,E,E,ACERTO
pm2021_c_39,E,E,ACERTO
pm2021_c_40,D,D,ACERTO
pm2021_c_41,E,E,ACERTO
pm2021_c_42,E,D,ERRO
pm2021_c_43,B,B,ACERTO
pm2021_c_44,C,D,ERRO
pm2021_c_45,D,C,ERRO
pm2021_c_46,D,A,ERRO
pm2021_c_47,C,C,ACERTO
pm2021_c_48,A,A,ACERTO
pm2021_c_49,B,B,ACERTO
pm2021_c_50,C,C,ACERTO
pm2021_c_51,A,A,ACERTO
pm2021_c_52,B,NULA,ERRO
pm2021_c_53,D,C,ERRO
pm2021_c_54,D,E,ERRO
pp2024_c_21,C,C,ACERTO
pp2024_c_22,C,A,ERRO
pp2024_c_23,C,B,ERRO
pp2024_c_24,D,E,ERRO
pp2024_c_25,A,C,ERRO
pp2024_c_26,A,C,ERRO
pp2024_c_27,A,A,ACERTO
pp2024_c_28,C,D,ERRO
pp2024_c_29,D,E,ERRO
pp2024_c_30,B,E,ERRO
pp2024_c_31,D,D,ACERTO
pp2024_c_32,D,D,ACERTO
pp2024_c_33,D,D,ACERTO
pp2024_c_34,D,B,ERRO
pp2024_c_35,C,C,ACERTO
pp2024_c_36,B,E,ERRO
pp2024_c_37,C,C,ACERTO
pp2024_c_38,A,B,ERRO
pp2024_c_39,C,C,ACERTO
pp2024_c_40,A,A,ACERTO
pp2024_c_41,B,D,ERRO
pp2024_c_42,A,C,ERRO
pp2024_c_43,C,C,ACERTO
pp2024_c_44,D,B,ERRO
pp2024_c_45,C,E,ERRO
pp2024_c_46,A,B,ERRO
pp2024_c_47,E,B,ERRO
pp2024_c_48,C,E,ERRO
pp2024_c_49,A,A,ACERTO
pp2024_c_50,B,E,ERRO
pp2024_c_51,B,A,ERRO
pp2024_c_52,B,B,ACERTO
pm2021_a_29,E,E,ACERTO
pm2021_a_33,E,A,ERRO
pm2021_a_34,A,A,ACERTO
pm2021_a_35,C,C,ACERTO
pm2021_a_36,E,D,ERRO
pm2021_a_38,D,E,ERRO
pm2021_a_39,E,E,ACERTO
pm2021_a_43,D,C,ERRO
pm2021_a_46,B,B,ACERTO
pm2021_a_49,E,A,ERRO
pm2021_a_50,D,E,ERRO
pm2021_a_54,E,B,ERRO
pp2024_b_21,C,C,ACERTO
pp2024_b_22,D,C,ERRO
pp2024_b_23,B,A,ERRO
pp2024_b_24,C,D,ERRO
pp2024_b_25,C,C,ACERTO
pp2024_b_26,D,A,ERRO
pp2024_b_27,C,B,ERRO
pp2024_b_28,B,E,ERRO
pp2024_b_29,B,D,ERRO
pp2024_b_30,D,B,ERRO
pp2024_b_31,B,C,ERRO
pp2024_b_32,D,E,ERRO
pp2024_b_33,D,E,ERRO
pp2024_b_34,C,E,ERRO
pp2024_b_35,D,D,ACERTO
pp2024_b_36,B,D,ERRO
pp2024_b_37,C,A,ERRO
pp2024_b_38,A,C,ERRO
pp2024_b_39,C,D,ERRO
pp2024_b_40,D,C,ERRO
pp2024_b_41,A,B,ERRO
pp2024_b_42,A,C,ERRO
pp2024_b_43,B,E,ERRO
pp2024_b_44,C,B,ERRO
pp2024_b_45,D,B,ERRO
pp2024_b_46,E,C,ERRO
pp2024_b_47,B,E,ERRO
pp2024_b_48,C,B,ERRO
pp2024_b_50,B,A,ERRO
pp2024_b_51,A,B,ERRO
pp2024_b_52,B,A,ERRO
pp2024_a_21,A,C,ERRO
pp2024_a_22,A,C,ERRO
pp2024_a_24,C,D,ERRO
pp2024_a_25,E,C,ERRO
pp2024_a_26,B,A,ERRO
pp2024_a_27,D,B,ERRO
pp2024_a_28,C,E,ERRO
pp2024_a_29,B,D,ERRO
