id,resposta
pm2021_a_21,E
pm2021_a_22,D
pm2021_a_23,B
pm2021_a_24,A
pm2021_a_25,B
pm2021_a_26,D
pm2021_a_27,A
pm2021_a_28,E
pm2021_a_29,E
pm2021_a_30,B
pm2021_a_31,D
pm2021_a_32,C
pm2021_a_33,A
pm2021_a_34,A
pm2021_a_35,C
pm2021_a_36,D
pm2021_a_37,E
pm2021_a_38,E
pm2021_a_39,E
pm2021_a_40,B
pm2021_a_41,C
pm2021_a_42,D
pm2021_a_43,C
pm2021_a_44,E
pm2021_a_45,D
pm2021_a_46,B
pm2021_a_47,A
pm2021_a_48,NULA
pm2021_a_49,A
pm2021_a_50,E
pm2021_a_51,A
pm2021_a_52,C
pm2021_a_53,C
pm2021_a_54,B
pm2021_a_55,B
pm2021_a_56,B
pm2021_a_57,C
pm2021_a_58,A
pm2021_a_59,NULA
pm2021_a_60,A

pm2021_b_21,B
pm2021_b_22,B
pm2021_b_23,E
pm2021_b_24,D
pm2021_b_25,A
pm2021_b_26,E
pm2021_b_27,E
pm2021_b_28,A
pm2021_b_29,B
pm2021_b_30,D
pm2021_b_31,C
pm2021_b_32,D
pm2021_b_33,C
pm2021_b_34,A
pm2021_b_35,A
pm2021_b_36,E
pm2021_b_37,D
pm2021_b_38,B
pm2021_b_39,E
pm2021_b_40,E
pm2021_b_41,D
pm2021_b_42,A
pm2021_b_43,E
pm2021_b_44,C
pm2021_b_45,B
pm2021_b_46,C
pm2021_b_47,D
pm2021_b_48,C
pm2021_b_49,C
pm2021_b_50,A
pm2021_b_51,E
pm2021_b_52,A
pm2021_b_53,B
pm2021_b_54,NULA
pm2021_b_55,B
pm2021_b_56,NULA
pm2021_b_57,B
pm2021_b_58,A
pm2021_b_59,A
pm2021_b_60,C

pm2021_c_21,B
pm2021_c_22,E
pm2021_c_23,A
pm2021_c_24,B
pm2021_c_25,D
pm2021_c_26,A
pm2021_c_27,D
pm2021_c_28,B
pm2021_c_29,E
pm2021_c_30,E
pm2021_c_31,A
pm2021_c_32,A
pm2021_c_33,D
pm2021_c_34,C
pm2021_c_35,C
pm2021_c_36,E
pm2021_c_37,B
pm2021_c_38,E
pm2021_c_39,E
pm2021_c_40,D
pm2021_c_41,E
pm2021_c_42,D
pm2021_c_43,B
pm2021_c_44,D
pm2021_c_45,C
pm2021_c_46,A
pm2021_c_47,C
pm2021_c_48,A
pm2021_c_49,B
pm2021_c_50,C
pm2021_c_51,A
pm2021_c_52,NULA
pm2021_c_53,C
pm2021_c_54,E
pm2021_c_55,A
pm2021_c_56,C
pm2021_c_57,A
pm2021_c_58,NULA
pm2021_c_59,B
pm2021_c_60,B
