id,resposta

pp2024_a_01,E
pp2024_a_02,C
pp2024_a_03,D
pp2024_a_04,A
pp2024_a_05,B
pp2024_a_06,E
pp2024_a_07,B
pp2024_a_08,D
pp2024_a_09,E
pp2024_a_10,A
pp2024_a_11,C
pp2024_a_12,E
pp2024_a_13,C
pp2024_a_14,E
pp2024_a_15,C
pp2024_a_16,B
pp2024_a_17,A
pp2024_a_18,NULA
pp2024_a_19,D
pp2024_a_20,B
pp2024_a_21,C
pp2024_a_22,C
pp2024_a_23,A
pp2024_a_24,D
pp2024_a_25,C
pp2024_a_26,A
pp2024_a_27,B
pp2024_a_28,E
pp2024_a_29,D
pp2024_a_30,B
pp2024_a_31,C
pp2024_a_32,E
pp2024_a_33,E
pp2024_a_34,E
pp2024_a_35,D
pp2024_a_36,D
pp2024_a_37,A
pp2024_a_38,C
pp2024_a_39,D
pp2024_a_40,C
pp2024_a_41,B
pp2024_a_42,C
pp2024_a_43,E
pp2024_a_44,B
pp2024_a_45,B
pp2024_a_46,C
pp2024_a_47,E
pp2024_a_48,B
pp2024_a_49,E
pp2024_a_50,A
pp2024_a_51,B
pp2024_a_52,A
pp2024_a_53,D
pp2024_a_54,A
pp2024_a_55,D
pp2024_a_56,D
pp2024_a_57,B
pp2024_a_58,C
pp2024_a_59,D
pp2024_a_60,B


pp2024_b_01,E
pp2024_b_02,C
pp2024_b_03,D
pp2024_b_04,A
pp2024_b_05,B
pp2024_b_06,E
pp2024_b_07,B
pp2024_b_08,D
pp2024_b_09,E
pp2024_b_10,A
pp2024_b_11,C
pp2024_b_12,E
pp2024_b_13,C
pp2024_b_14,E
pp2024_b_15,C
pp2024_b_16,B
pp2024_b_17,A
pp2024_b_18,NULA
pp2024_b_19,D
pp2024_b_20,B
pp2024_b_21,C
pp2024_b_22,C
pp2024_b_23,A
pp2024_b_24,D
pp2024_b_25,C
pp2024_b_26,A
pp2024_b_27,B
pp2024_b_28,E
pp2024_b_29,D
pp2024_b_30,B
pp2024_b_31,C
pp2024_b_32,E
pp2024_b_33,E
pp2024_b_34,E
pp2024_b_35,D
pp2024_b_36,D
pp2024_b_37,A
pp2024_b_38,C
pp2024_b_39,D
pp2024_b_40,C
pp2024_b_41,B
pp2024_b_42,C
pp2024_b_43,E
pp2024_b_44,B
pp2024_b_45,B
pp2024_b_46,C
pp2024_b_47,E
pp2024_b_48,B
pp2024_b_49,E
pp2024_b_50,A
pp2024_b_51,B
pp2024_b_52,A
pp2024_b_53,D
pp2024_b_54,A
pp2024_b_55,D
pp2024_b_56,D
pp2024_b_57,B
pp2024_b_58,C
pp2024_b_59,D
pp2024_b_60,B


pp2024_c_01,D
pp2024_c_02,A
pp2024_c_03,B
pp2024_c_04,E
pp2024_c_05,E
pp2024_c_06,C
pp2024_c_07,E
pp2024_c_08,B
pp2024_c_09,D
pp2024_c_10,E
pp2024_c_11,A
pp2024_c_12,C
pp2024_c_13,C
pp2024_c_14,B
pp2024_c_15,C
pp2024_c_16,E
pp2024_c_17,D
pp2024_c_18,B
pp2024_c_19,A
pp2024_c_20,NULA
pp2024_c_21,C
pp2024_c_22,A
pp2024_c_23,B
pp2024_c_24,E
pp2024_c_25,C
pp2024_c_26,C
pp2024_c_27,A
pp2024_c_28,D
pp2024_c_29,E
pp2024_c_30,E
pp2024_c_31,D
pp2024_c_32,D
pp2024_c_33,D
pp2024_c_34,B
pp2024_c_35,C
pp2024_c_36,E
pp2024_c_37,C
pp2024_c_38,B
pp2024_c_39,C
pp2024_c_40,A
pp2024_c_41,D
pp2024_c_42,C
pp2024_c_43,C
pp2024_c_44,B
pp2024_c_45,E
pp2024_c_46,B
pp2024_c_47,B
pp2024_c_48,E
pp2024_c_49,A
pp2024_c_50,E
pp2024_c_51,A
pp2024_c_52,B
pp2024_c_53,A
pp2024_c_54,D
pp2024_c_55,D
pp2024_c_56,D
pp2024_c_57,C
pp2024_c_58,B
pp2024_c_59,B
pp2024_c_60,D
